"Unit Type:","PicoCount 2500 V2.41"
"Serial Number:","24071598"
"ID:",""
"Location:","6218 38th Ave N"
"Comments:",""
"Dwell:","90 ms"
"Measurements:","English"
"Start Date:","08/19/2025"
"Start Time:","00:00"
"Export Version:","All V2.03"
"Scheme:","FHWA"
"Scheme ID:","1"
"Interval:","60 Min"
"Title:","All-In-One (Westbound / Eastbound)"
"Date/Time","Volume - Westbound","Volume - Eastbound","Class #1 - Westbound","Class #2 - Westbound","Class #3 - Westbound","Class #4 - Westbound","Class #5 - Westbound","Class #6 - Westbound","Class #7 - Westbound","Class #8 - Westbound","Class #9 - Westbound","Class #10 - Westbound","Class #11 - Westbound","Class #12 - Westbound","Class #13 - Westbound","Class #1 - Eastbound","Class #2 - Eastbound","Class #3 - Eastbound","Class #4 - Eastbound","Class #5 - Eastbound","Class #6 - Eastbound","Class #7 - Eastbound","Class #8 - Eastbound","Class #9 - Eastbound","Class #10 - Eastbound","Class #11 - Eastbound","Class #12 - Eastbound","Class #13 - Eastbound","5-15 MPH  - Westbound","16-20 MPH  - Westbound","21-25 MPH  - Westbound","26-30 MPH  - Westbound","31-35 MPH  - Westbound","36-40 MPH  - Westbound","41-45 MPH  - Westbound","44-50 MPH  - Westbound","51-55 MPH  - Westbound","56-60 MPH  - Westbound","61-65 MPH  - Westbound","66-70 MPH  - Westbound","71-71 MPH  - Westbound","76-80 MPH  - Westbound","81-99 MPH  - Westbound","5-15 MPH  - Eastbound","16-20 MPH  - Eastbound","21-25 MPH  - Eastbound","26-30 MPH  - Eastbound","31-35 MPH  - Eastbound","36-40 MPH  - Eastbound","41-45 MPH  - Eastbound","44-50 MPH  - Eastbound","51-55 MPH  - Eastbound","56-60 MPH  - Eastbound","61-65 MPH  - Eastbound","66-70 MPH  - Eastbound","71-71 MPH  - Eastbound","76-80 MPH  - Eastbound","81-99 MPH  - Eastbound"
08/19/2025 13:00,9,6,0,8,0,0,1,0,0,0,0,0,0,0,0,1,4,1,0,0,0,0,0,0,0,0,0,0,1,2,5,1,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0
08/19/2025 14:00,14,16,0,12,0,0,2,0,0,0,0,0,0,0,0,0,15,1,0,0,0,0,0,0,0,0,0,0,1,5,6,2,0,0,0,0,0,0,0,0,0,0,0,2,2,9,2,0,1,0,0,0,0,0,0,0,0,0
08/19/2025 15:00,21,17,0,18,1,0,2,0,0,0,0,0,0,0,0,0,14,2,0,1,0,0,0,0,0,0,0,0,0,5,13,3,0,0,0,0,0,0,0,0,0,0,0,3,2,9,3,0,0,0,0,0,0,0,0,0,0,0
08/19/2025 16:00,18,30,1,12,0,0,5,0,0,0,0,0,0,0,0,0,26,1,0,3,0,0,0,0,0,0,0,0,2,5,9,2,0,0,0,0,0,0,0,0,0,0,0,1,7,20,2,0,0,0,0,0,0,0,0,0,0,0
08/19/2025 17:00,25,30,1,21,2,0,1,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,3,10,10,2,0,0,0,0,0,0,0,0,0,0,0,1,7,19,3,0,0,0,0,0,0,0,0,0,0,0
08/19/2025 18:00,23,21,0,15,3,0,5,0,0,0,0,0,0,0,0,0,17,1,0,3,0,0,0,0,0,0,0,0,1,8,13,1,0,0,0,0,0,0,0,0,0,0,0,0,8,13,0,0,0,0,0,0,0,0,0,0,0,0
08/19/2025 19:00,16,16,0,14,1,0,1,0,0,0,0,0,0,0,0,0,13,2,0,1,0,0,0,0,0,0,0,0,1,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,4,11,0,1,0,0,0,0,0,0,0,0,0,0
08/19/2025 20:00,15,16,0,13,1,0,0,0,1,0,0,0,0,0,0,0,15,1,0,0,0,0,0,0,0,0,0,0,1,6,8,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,1,0,0,0,0,0,0,0,0,0,0,0
08/19/2025 21:00,5,6,0,3,1,0,1,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0
08/19/2025 22:00,2,5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0
08/19/2025 23:00,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08/20/2025 00:00,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
08/20/2025 01:00,3,2,0,2,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
08/20/2025 02:00,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
08/20/2025 03:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08/20/2025 04:00,3,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
08/20/2025 05:00,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08/20/2025 06:00,10,3,0,7,1,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,6,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
08/20/2025 07:00,18,9,2,11,4,0,1,0,0,0,0,0,0,0,0,0,8,0,0,1,0,0,0,0,0,0,0,0,2,5,8,3,0,0,0,0,0,0,0,0,0,0,0,2,2,5,0,0,0,0,0,0,0,0,0,0,0,0
08/20/2025 08:00,29,11,2,17,6,1,3,0,0,0,0,0,0,0,0,0,9,2,0,0,0,0,0,0,0,0,0,0,2,7,17,3,0,0,0,0,0,0,0,0,0,0,0,1,3,7,0,0,0,0,0,0,0,0,0,0,0,0
08/20/2025 09:00,13,19,0,11,0,0,2,0,0,0,0,0,0,0,0,0,15,1,0,2,1,0,0,0,0,0,0,0,1,3,9,0,0,0,0,0,0,0,0,0,0,0,0,2,7,9,1,0,0,0,0,0,0,0,0,0,0,0
08/20/2025 10:00,12,7,0,8,0,0,4,0,0,0,0,0,0,0,0,0,5,1,0,1,0,0,0,0,0,0,0,0,0,1,7,4,0,0,0,0,0,0,0,0,0,0,0,0,2,4,1,0,0,0,0,0,0,0,0,0,0,0
