"Unit Type:","PicoCount 2500 V2.41"
"Serial Number:","24071598"
"ID:",""
"Location:","6009 34th Ave N"
"Comments:",""
"Dwell:","90 ms"
"Measurements:","English"
"Start Date:","09/02/2025"
"Start Time:","00:00"
"Export Version:","Speed V2.10"
"Posted Speed:","30"
"Interval:","60 Min"
"Title:","Total Speeds"
"Date/Time","5-15 MPH","16-20 MPH","21-25 MPH","26-30 MPH","31-35 MPH","36-40 MPH","41-45 MPH","46-50 MPH","51-55 MPH","56-60 MPH","61-65 MPH","66-70 MPH","71-71 MPH","76-80 MPH","81-99 MPH","Total""Mean Speed","85th Percentile"
09/02/2025 11:00 - 11:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
09/02/2025 12:00 - 12:59,3,14,17,4,0,0,0,0,0,0,0,0,0,0,0,38,21.1,25.4
09/02/2025 13:00 - 13:59,2,6,24,5,0,0,0,0,0,0,0,0,0,0,0,37,22.6,25.8
09/02/2025 14:00 - 14:59,5,8,27,4,1,0,0,0,0,0,0,0,0,0,0,45,21.8,25.6
09/02/2025 15:00 - 15:59,3,17,26,7,0,0,0,0,0,0,0,0,0,0,0,53,21.8,25.7
09/02/2025 16:00 - 16:59,4,11,27,8,1,0,0,0,0,0,0,0,0,0,0,51,22.4,26.5
09/02/2025 17:00 - 17:59,2,7,24,9,1,0,0,0,0,0,0,0,0,0,0,43,23.3,27.7
09/02/2025 18:00 - 18:59,3,12,12,3,0,0,0,0,0,0,0,0,0,0,0,30,20.7,25.2
09/02/2025 19:00 - 19:59,3,8,14,3,0,0,0,0,0,0,0,0,0,0,0,28,21.2,25.4
09/02/2025 20:00 - 20:59,1,3,5,1,0,0,0,0,0,0,0,0,0,0,0,10,21.0,25.0
09/02/2025 21:00 - 21:59,1,2,4,2,0,0,0,0,0,0,0,0,0,0,0,9,22.0,26.4
09/02/2025 22:00 - 22:59,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3,20.3,26.3
09/02/2025 23:00 - 23:59,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,23.0,22.8
09/03/2025 00:00 - 00:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
09/03/2025 01:00 - 01:59,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,28.0,27.8
